epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,401.6,2.85143,3.16556,1.96246,0.08627,0.18217,0.0977,0.04657,2.30353,2.8195,1.62686,0.0802122,0.000199876,0.000199876
2,788.401,2.16989,2.36079,1.51164,0.18725,0.14657,0.10712,0.055,2.11468,2.46885,1.42094,0.0604122,0.000399854,0.000399854
3,1178.15,1.99064,2.09328,1.4014,0.26007,0.20076,0.16291,0.08871,1.82455,2.00945,1.35111,0.0406121,0.000599743,0.000599743
4,1572.14,1.87466,1.92116,1.33749,0.30546,0.24528,0.22416,0.12457,1.74668,1.68545,1.2866,0.0208118,0.000799477,0.000799477
5,1965.86,1.80799,1.80925,1.29856,0.36403,0.28259,0.2612,0.14712,1.63322,1.59226,1.24748,0.00101135,0.000998989,0.000998989
6,2356.08,1.75774,1.72728,1.27163,0.37314,0.29227,0.28158,0.16168,1.61698,1.5289,1.22402,0.000998613,0.000998613,0.000998613
7,2750.15,1.71577,1.65612,1.24963,0.38733,0.31485,0.30597,0.17427,1.57259,1.47555,1.22188,0.000998003,0.000998003,0.000998003
8,3155.63,1.68776,1.6088,1.23581,0.41477,0.34796,0.33291,0.19376,1.53821,1.39309,1.19886,0.000997282,0.000997282,0.000997282
9,3543.94,1.65574,1.55945,1.22087,0.4082,0.34995,0.3364,0.1943,1.5304,1.40597,1.18967,0.000996452,0.000996452,0.000996452
10,3930.27,1.63319,1.52803,1.20927,0.42755,0.36353,0.35107,0.20312,1.51809,1.3474,1.17302,0.000995511,0.000995511,0.000995511
11,4313.49,1.60764,1.48029,1.19249,0.43909,0.364,0.35883,0.21176,1.49222,1.33561,1.16398,0.00099446,0.00099446,0.00099446
12,4710.57,1.59238,1.4511,1.18428,0.44887,0.39264,0.37842,0.2226,1.48036,1.30175,1.16189,0.000993299,0.000993299,0.000993299
13,5094.43,1.58167,1.43025,1.18163,0.44657,0.37297,0.37151,0.22043,1.47834,1.31392,1.1612,0.000992029,0.000992029,0.000992029
14,5479.74,1.56715,1.40518,1.17503,0.48392,0.39449,0.40236,0.24003,1.44863,1.26664,1.1442,0.00099065,0.00099065,0.00099065
15,5882.78,1.55107,1.38339,1.16397,0.48119,0.41325,0.4156,0.24828,1.44603,1.24132,1.14743,0.000989163,0.000989163,0.000989163
16,6274.97,1.54124,1.37422,1.16155,0.48517,0.41337,0.41309,0.24806,1.42451,1.22203,1.13395,0.000987566,0.000987566,0.000987566
17,6658.81,1.53034,1.34546,1.1566,0.47587,0.42752,0.42045,0.25207,1.41845,1.20198,1.1309,0.000985862,0.000985862,0.000985862
18,7050.08,1.52466,1.33535,1.15228,0.50143,0.40963,0.42455,0.25758,1.41215,1.21007,1.13103,0.000984051,0.000984051,0.000984051
19,7441.74,1.5135,1.32185,1.14517,0.51165,0.41031,0.42689,0.25957,1.41055,1.19405,1.12492,0.000982132,0.000982132,0.000982132
20,7841.38,1.50865,1.31483,1.14405,0.50582,0.43115,0.43437,0.26088,1.41761,1.18721,1.12618,0.000980107,0.000980107,0.000980107
21,8227.45,1.50554,1.3014,1.14166,0.51755,0.43668,0.44627,0.26976,1.39179,1.18126,1.12062,0.000977975,0.000977975,0.000977975
22,8623.74,1.48695,1.27839,1.13457,0.52075,0.43367,0.44209,0.26717,1.39923,1.16864,1.1196,0.000975738,0.000975738,0.000975738
23,9014.36,1.48682,1.26906,1.13367,0.53193,0.44335,0.45389,0.27522,1.38406,1.14664,1.11313,0.000973396,0.000973396,0.000973396
24,9400.46,1.48592,1.26901,1.13186,0.52451,0.44386,0.45614,0.27711,1.3794,1.15604,1.10862,0.00097095,0.00097095,0.00097095
25,9786.56,1.4756,1.25168,1.1269,0.52744,0.44596,0.45656,0.27574,1.38559,1.15157,1.11418,0.000968399,0.000968399,0.000968399
26,10172.3,1.474,1.24394,1.12628,0.52212,0.45541,0.46033,0.28148,1.37676,1.13965,1.10648,0.000965746,0.000965746,0.000965746
27,10558,1.46454,1.2398,1.12203,0.54251,0.45383,0.46583,0.28437,1.37414,1.1346,1.10888,0.00096299,0.00096299,0.00096299
28,10949.7,1.4629,1.22775,1.11849,0.53437,0.45231,0.46261,0.28273,1.37441,1.12104,1.10542,0.000960131,0.000960131,0.000960131
29,11344.9,1.46024,1.21807,1.11837,0.55086,0.45184,0.47151,0.28935,1.36518,1.11484,1.10106,0.000957172,0.000957172,0.000957172
30,11730.5,1.44724,1.20562,1.11247,0.54492,0.45193,0.46971,0.28532,1.36295,1.11939,1.10164,0.000954112,0.000954112,0.000954112
31,12122.1,1.44385,1.20704,1.11239,0.5527,0.46491,0.4778,0.29267,1.35689,1.10973,1.09849,0.000950953,0.000950953,0.000950953
32,12506.4,1.43792,1.19337,1.10923,0.54623,0.46477,0.48084,0.29548,1.35586,1.10538,1.09769,0.000947695,0.000947695,0.000947695
33,12905.7,1.43731,1.1863,1.10516,0.55934,0.4635,0.48301,0.29852,1.35186,1.09361,1.09767,0.000944338,0.000944338,0.000944338
34,13291.8,1.43479,1.18439,1.10701,0.5494,0.46513,0.48231,0.29844,1.34517,1.0906,1.09257,0.000940884,0.000940884,0.000940884
35,13685.8,1.43264,1.17875,1.10517,0.56201,0.46502,0.4848,0.29861,1.34932,1.1118,1.09558,0.000937334,0.000937334,0.000937334
36,14071.9,1.42866,1.16921,1.1052,0.56937,0.46965,0.48886,0.30119,1.35222,1.079,1.09337,0.000933688,0.000933688,0.000933688
37,14470.2,1.42677,1.16877,1.10231,0.57301,0.46958,0.49121,0.30389,1.33766,1.07766,1.09052,0.000929948,0.000929948,0.000929948
38,14864.9,1.42547,1.16525,1.10223,0.56561,0.47479,0.49636,0.30627,1.34243,1.08819,1.0905,0.000926113,0.000926113,0.000926113
39,15256.4,1.42306,1.1548,1.09865,0.56383,0.47446,0.49556,0.30768,1.33828,1.06599,1.08943,0.000922186,0.000922186,0.000922186
40,15643,1.40984,1.1444,1.095,0.55946,0.48242,0.4998,0.31033,1.33129,1.05496,1.0849,0.000918167,0.000918167,0.000918167
41,16030.4,1.41445,1.14691,1.09609,0.56897,0.48089,0.49871,0.3079,1.33354,1.06677,1.08526,0.000914058,0.000914058,0.000914058
42,16434.1,1.41138,1.13731,1.09273,0.57166,0.48633,0.50338,0.31121,1.33587,1.06816,1.08427,0.000909858,0.000909858,0.000909858
43,16827.6,1.41582,1.14311,1.09481,0.57473,0.4925,0.50772,0.31417,1.32585,1.05667,1.08183,0.00090557,0.00090557,0.00090557
44,17214.5,1.39752,1.12296,1.0878,0.56928,0.48817,0.50767,0.31736,1.32989,1.04672,1.0832,0.000901194,0.000901194,0.000901194
45,17607.3,1.39755,1.12276,1.09051,0.58666,0.48225,0.5116,0.31908,1.32717,1.04545,1.08145,0.000896731,0.000896731,0.000896731
46,17993.9,1.3953,1.11199,1.08689,0.58651,0.48937,0.51102,0.31694,1.32985,1.03895,1.08117,0.000892183,0.000892183,0.000892183
47,18381,1.39667,1.11495,1.0883,0.5838,0.49116,0.5146,0.31914,1.32629,1.04748,1.07971,0.00088755,0.00088755,0.00088755
48,18767.3,1.38852,1.10657,1.08407,0.58789,0.48722,0.51769,0.32282,1.32243,1.0346,1.07806,0.000882834,0.000882834,0.000882834
49,19155,1.39523,1.1131,1.08846,0.5858,0.5034,0.52216,0.32483,1.31827,1.0373,1.07825,0.000878036,0.000878036,0.000878036
50,19548.5,1.39539,1.10764,1.08485,0.5871,0.50301,0.52085,0.32506,1.32099,1.03292,1.0772,0.000873157,0.000873157,0.000873157
51,19936.8,1.3882,1.10156,1.08077,0.59088,0.50072,0.5207,0.3248,1.3203,1.03586,1.07724,0.000868198,0.000868198,0.000868198
52,20334.6,1.38414,1.09167,1.08016,0.60108,0.49667,0.52118,0.32633,1.3165,1.03074,1.07515,0.000863161,0.000863161,0.000863161
53,20727,1.38693,1.09597,1.08125,0.61229,0.49582,0.52891,0.32902,1.31688,1.02228,1.07504,0.000858046,0.000858046,0.000858046
54,21130,1.38679,1.09356,1.08209,0.6042,0.5023,0.52553,0.32704,1.31435,1.02669,1.07477,0.000852856,0.000852856,0.000852856
