epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,322.686,1.4607,1.61954,1.04447,0.42139,0.33536,0.32385,0.1951,1.32092,1.1009,0.98272,0.00333127,0.00333127,0.00333127
2,708.255,1.39843,1.21331,0.9981,0.43609,0.35713,0.34805,0.21085,1.31562,1.10021,0.98087,0.00659863,0.00659863,0.00659863
3,1074.43,1.4196,1.18829,0.99764,0.44346,0.3768,0.37153,0.221,1.33153,1.07685,0.98363,0.00979998,0.00979998,0.00979998
4,1438.2,1.41477,1.17459,0.99966,0.47087,0.38431,0.3848,0.23335,1.30922,1.05468,0.98197,0.009703,0.009703,0.009703
5,1800.4,1.39649,1.12642,0.99335,0.48852,0.39172,0.39907,0.24288,1.29251,1.01571,0.97175,0.009604,0.009604,0.009604
6,2163.12,1.38265,1.0963,0.98638,0.49306,0.39878,0.40722,0.24528,1.2949,1.01798,0.97536,0.009505,0.009505,0.009505
7,2522.84,1.3627,1.07357,0.98223,0.50855,0.40634,0.414,0.25097,1.28231,0.99427,0.97099,0.009406,0.009406,0.009406
8,2884.86,1.34823,1.05062,0.97767,0.50631,0.40669,0.41367,0.25378,1.28617,0.98352,0.97007,0.009307,0.009307,0.009307
9,3295.42,1.34126,1.03456,0.97408,0.51742,0.415,0.42781,0.26008,1.2668,0.97322,0.96469,0.009208,0.009208,0.009208
10,3661.68,1.33156,1.01504,0.96995,0.51658,0.42136,0.43429,0.26501,1.26303,0.95797,0.96197,0.009109,0.009109,0.009109
11,4140.16,1.32852,1.00366,0.96715,0.52519,0.43359,0.4426,0.27095,1.26268,0.95732,0.96166,0.00901,0.00901,0.00901
12,4577.31,1.31434,0.98848,0.9669,0.54268,0.43251,0.4467,0.27252,1.26054,0.94775,0.96152,0.008911,0.008911,0.008911
13,4939.96,1.30986,0.97982,0.96161,0.53273,0.44163,0.45267,0.27706,1.255,0.94066,0.95985,0.008812,0.008812,0.008812
14,5303.5,1.30646,0.96966,0.96138,0.54341,0.44296,0.45538,0.27682,1.25113,0.93088,0.95463,0.008713,0.008713,0.008713
15,5656.41,1.29489,0.95856,0.95624,0.54458,0.43633,0.45572,0.28117,1.2388,0.92373,0.95289,0.008614,0.008614,0.008614
16,6018.33,1.29295,0.95669,0.95756,0.54351,0.44153,0.45619,0.28124,1.23968,0.92999,0.95412,0.008515,0.008515,0.008515
17,6376.2,1.28645,0.94478,0.95567,0.5358,0.4359,0.4546,0.28033,1.23669,0.9253,0.95218,0.008416,0.008416,0.008416
18,6737.86,1.27941,0.93667,0.95254,0.53151,0.44708,0.45912,0.28429,1.23412,0.92242,0.95074,0.008317,0.008317,0.008317
19,7098.47,1.27425,0.93177,0.95254,0.56429,0.45189,0.47163,0.29178,1.23212,0.90263,0.95016,0.008218,0.008218,0.008218
20,7461.08,1.27591,0.92767,0.95213,0.54724,0.45143,0.46451,0.2866,1.22872,0.90847,0.94952,0.008119,0.008119,0.008119
21,7818.98,1.26689,0.91702,0.95067,0.5514,0.45066,0.46701,0.2884,1.22723,0.89917,0.94904,0.00802,0.00802,0.00802
22,8217.76,1.26428,0.91471,0.94746,0.55089,0.4547,0.47206,0.29319,1.22349,0.89796,0.94795,0.007921,0.007921,0.007921
23,8576.41,1.25679,0.90433,0.94855,0.56313,0.45825,0.47818,0.29614,1.21955,0.89295,0.94615,0.007822,0.007822,0.007822
24,8940.94,1.25427,0.89943,0.94688,0.56571,0.45402,0.47863,0.29521,1.22159,0.89572,0.9454,0.007723,0.007723,0.007723
