epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.0012,1.46422,1.73809,1.0472,0.40365,0.31789,0.29455,0.17255,1.39583,1.17745,1.00281,0.0033251,0.0033251,0.0033251
2,111.461,1.38357,1.16608,0.99054,0.43539,0.38653,0.36894,0.22185,1.31756,1.07621,0.9816,0.00659252,0.00659252,0.00659252
3,165.617,1.40308,1.14779,0.98996,0.46564,0.36048,0.36002,0.21535,1.35465,1.13145,0.98965,0.00979393,0.00979393,0.00979393
4,218.881,1.4005,1.11298,0.99125,0.4839,0.37824,0.38374,0.2318,1.34301,1.06301,0.987,0.009703,0.009703,0.009703
5,271.709,1.3698,1.0731,0.98284,0.49596,0.40238,0.40719,0.24973,1.3124,1.01888,0.97817,0.009604,0.009604,0.009604
6,324.729,1.36113,1.04038,0.9772,0.50154,0.41295,0.41536,0.25243,1.30476,1.00999,0.97427,0.009505,0.009505,0.009505
7,378.054,1.34778,1.01902,0.97355,0.51052,0.40741,0.4163,0.25318,1.31071,1.00744,0.97678,0.009406,0.009406,0.009406
8,431.594,1.33049,1.00036,0.96862,0.51925,0.41152,0.42884,0.25961,1.29956,0.99102,0.97214,0.009307,0.009307,0.009307
9,485.447,1.3156,0.97796,0.96403,0.52379,0.42066,0.43498,0.26454,1.27948,0.97295,0.96754,0.009208,0.009208,0.009208
10,540.231,1.30887,0.96565,0.96016,0.53173,0.43053,0.44225,0.26873,1.28134,0.96283,0.96822,0.009109,0.009109,0.009109
11,592.895,1.29273,0.94254,0.95731,0.53819,0.42834,0.44555,0.27072,1.27151,0.95751,0.96486,0.00901,0.00901,0.00901
12,646.377,1.28809,0.94088,0.95569,0.54161,0.43486,0.45262,0.27569,1.26819,0.94727,0.9635,0.008911,0.008911,0.008911
13,699.838,1.28152,0.9264,0.9545,0.52143,0.44137,0.44758,0.27322,1.27351,0.95675,0.96223,0.008812,0.008812,0.008812
14,753.088,1.26955,0.9223,0.94931,0.54255,0.43473,0.45132,0.27473,1.26755,0.94151,0.96084,0.008713,0.008713,0.008713
15,806.797,1.2744,0.91562,0.94854,0.55416,0.4446,0.46157,0.2831,1.24913,0.92412,0.95826,0.008614,0.008614,0.008614
16,860.784,1.27125,0.90567,0.94959,0.5609,0.44027,0.46522,0.28529,1.25178,0.92276,0.95622,0.008515,0.008515,0.008515
17,914.813,1.26183,0.8955,0.94536,0.55773,0.44184,0.46578,0.28665,1.24596,0.92367,0.95562,0.008416,0.008416,0.008416
18,968.794,1.26087,0.88962,0.94581,0.55512,0.44633,0.46878,0.28834,1.25514,0.91846,0.95692,0.008317,0.008317,0.008317
19,1022.03,1.24516,0.8816,0.94362,0.56702,0.44447,0.46837,0.28997,1.24777,0.91601,0.95378,0.008218,0.008218,0.008218
20,1075.65,1.24606,0.87517,0.94227,0.56592,0.45129,0.47592,0.29265,1.24961,0.90985,0.95426,0.008119,0.008119,0.008119
21,1129.49,1.24058,0.86765,0.94003,0.57014,0.45401,0.47687,0.29214,1.24999,0.91048,0.95403,0.00802,0.00802,0.00802
22,1183.07,1.23303,0.86396,0.93762,0.56107,0.45732,0.48093,0.29886,1.2373,0.9003,0.95235,0.007921,0.007921,0.007921
23,1235.79,1.23328,0.85593,0.93913,0.57429,0.45168,0.47876,0.2965,1.23982,0.90061,0.95109,0.007822,0.007822,0.007822
24,1289.28,1.22656,0.8486,0.93636,0.56787,0.45565,0.47931,0.29609,1.24232,0.89411,0.95212,0.007723,0.007723,0.007723
25,1342.93,1.22381,0.84228,0.93589,0.5693,0.46374,0.48332,0.29694,1.24616,0.89789,0.9506,0.007624,0.007624,0.007624
26,1396.51,1.22681,0.84567,0.93659,0.56467,0.45647,0.47948,0.29565,1.23088,0.89366,0.94838,0.007525,0.007525,0.007525
27,1450.14,1.21802,0.83801,0.93145,0.5823,0.46667,0.49183,0.30456,1.2332,0.88872,0.94825,0.007426,0.007426,0.007426
28,1503.3,1.2127,0.8309,0.93075,0.58079,0.45758,0.48766,0.30327,1.22234,0.88608,0.94829,0.007327,0.007327,0.007327
29,1556.9,1.21014,0.82831,0.92962,0.58241,0.45681,0.48243,0.30001,1.2259,0.88727,0.9481,0.007228,0.007228,0.007228
30,1610.38,1.20755,0.82096,0.92925,0.56246,0.46632,0.48473,0.29982,1.23117,0.88915,0.94912,0.007129,0.007129,0.007129
